RSSPODS1;sqm_cache_enable;string;Restart required
RSSPARI3;sqm_cache_enable;string;Restart required
RSSTARI3;sqm_cache_enable;string;Restart required
RSSPODSM;sqm_cache_enable;string;Restart required
RSSPODS3;sqm_cache_enable;string;Restart required
RSSIODS1;sqm_cache_enable;string;Restart required
RSSPRMS1;sqm_cache_enable;string;Restart required
RSSIREPM;sqm_cache_enable;string;Restart required
RSSPODS5;sqm_cache_enable;string;Restart required
RSSIODSM;sqm_cache_enable;string;Restart required
RSSIODS3;sqm_cache_enable;string;Restart required
RSSPOSA1;sqm_cache_enable;string;Restart required
RSSIRMS1;sqm_cache_enable;string;Restart required
RSSIODSN;sqm_cache_enable;string;Restart required
RSSIODS4;sqm_cache_enable;string;Restart required
RSSTSME1;sqm_cache_enable;string;Restart required
RSSPESD1;sqm_cache_enable;string;Restart required
RSSISME1;sqm_cache_enable;string;Restart required
RSSIODS5;sqm_cache_enable;string;Restart required
RSSPSIN2;sqm_cache_enable;string;Restart required
RSSTSIN2;sqm_cache_enable;string;Restart required
